rarespecies_id,eol_content_id,eol_page_id,kingdom,phylum,class,order,family,genus,species,sciName,common,file_name,is_endangered
75fd91cb-2881-41cd-88e6-de451e8b60e2,12853737,449393,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,Cyclonaias tuberculata,purple wartyback,dataset/Animalia-Mollusca-Bivalvia-Unionida-Unionidae-Cyclonaias-tuberculata/12853737_449393_eol-full-size-copy.jpg,0
28c508bc-63ff-4e60-9c8f-1934367e1528,20969394,793083,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Pangshura,sylhetensis,Pangshura sylhetensis,Assam Roofed Turtle,dataset/Animalia-Chordata-Reptilia-Testudines-Geoemydidae-Pangshura-sylhetensis/20969394_793083_eol-full-size-copy.jpg,1
00372441-588c-4af8-9665-29bee20822c0,28895411,319982,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Andrias japonicus,Japanese Giant Salamander,dataset/Animalia-Chordata-Amphibia-Caudata-Cryptobranchidae-Andrias-japonicus/28895411_319982_eol-full-size-copy.jpg,1
29cc6040-6af2-49ee-86ec-ab7d89793828,29658536,45510188,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,obscurus,Myadestes obscurus,'Oma'o,dataset/Animalia-Chordata-Aves-Passeriformes-Turdidae-Myadestes-obscurus/29658536_45510188_eol-full-size-copy.jpg,0
94004bff-3a33-4758-8125-bf72e6e57eab,21252576,7250886,Animalia,Chordata,Mammalia,Primates,Indriidae,Propithecus,deckenii,Propithecus deckenii,Van der Decken's Sifaka,dataset/Animalia-Chordata-Mammalia-Primates-Indriidae-Propithecus-deckenii/21252576_7250886_eol-full-size-copy.jpg,1
dc48f2ce-4feb-4ef7-b2a2-c3c3f42bf19b,28657539,491832,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Adetomyrma,venatrix,Adetomyrma venatrix,dracula ant,dataset/Animalia-Arthropoda-Insecta-Hymenoptera-Formicidae-Adetomyrma-venatrix/28657539_491832_eol-full-size-copy.jpg,0
3d881320-8ba8-4580-a72c-0e7ab116b664,29548208,47043290,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Drepanis,coccinea,Drepanis coccinea,Iiwi,dataset/Animalia-Chordata-Aves-Passeriformes-Fringillidae-Drepanis-coccinea/29548208_47043290_eol-full-size-copy.jpg,1
7faca96a-54e6-4c80-b9e4-77ab126d904a,21232818,1033999,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Hemigomphus,theischingeri,Hemigomphus theischingeri,Rainforest Vicetail,dataset/Animalia-Arthropoda-Insecta-Odonata-Gomphidae-Hemigomphus-theischingeri/21232818_1033999_eol-full-size-copy.jpg,0
9f89ecab-aabd-41a4-b5b4-8ce106d85959,20315204,46561012,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Myliobatis,goodei,Myliobatis goodei,southern eagle ray,dataset/Animalia-Chordata-Chondrichthyes-Myliobatiformes-Myliobatidae-Myliobatis-goodei/20315204_46561012_eol-full-size-copy.jpg,0
b6ec7a70-c470-4ede-8930-05844e1efd2e,20124498,46570095,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,platessoides,Hippoglossoides platessoides,American dab,dataset/Animalia-Chordata-Actinopterygii-Pleuronectiformes-Pleuronectidae-Hippoglossoides-platessoides/20124498_46570095_eol-full-size-copy.jpg,0
309ead66-8bb3-4043-a372-3bf353ab328c,28209894,45510504,Animalia,Chordata,Aves,Passeriformes,Nesospingidae,Nesospingus,speculiferus,Nesospingus speculiferus,Puerto Rican Tanager,dataset/Animalia-Chordata-Aves-Passeriformes-Nesospingidae-Nesospingus-speculiferus/28209894_45510504_eol-full-size-copy.jpg,0
a6ca8369-a94f-416d-8ad4-d04d6473c611,29369182,323726,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,Dasyurus maculatus,Tiger Quoll,dataset/Animalia-Chordata-Mammalia-Dasyuromorphia-Dasyuridae-Dasyurus-maculatus/29369182_323726_eol-full-size-copy.jpg,0
50beb29b-c7f0-474c-8562-dce68b035708,30053716,912805,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Gyps coprotheres,Cape Vulture,dataset/Animalia-Chordata-Aves-Accipitriformes-Accipitridae-Gyps-coprotheres/30053716_912805_eol-full-size-copy.jpg,1
fa538ef6-0709-4c39-a85b-12d3e9f7cd09,28264284,46561012,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Myliobatis,goodei,Myliobatis goodei,southern eagle ray,dataset/Animalia-Chordata-Chondrichthyes-Myliobatiformes-Myliobatidae-Myliobatis-goodei/28264284_46561012_eol-full-size-copy.jpg,0
86f66e77-6967-4559-9cae-50652872fd0a,20599608,45513966,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola,nordmanni,Glareola nordmanni,Black-winged Pratincole,dataset/Animalia-Chordata-Aves-Charadriiformes-Glareolidae-Glareola-nordmanni/20599608_45513966_eol-full-size-copy.jpg,1
a8e04499-9757-408f-80cd-4e508dc3b8f2,22662179,45511624,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,bairdii,Trogon bairdii,Baird's Trogon,dataset/Animalia-Chordata-Aves-Trogoniformes-Trogonidae-Trogon-bairdii/22662179_45511624_eol-full-size-copy.jpg,1
e09db146-4447-4863-a0cf-23b85c4cf293,29898060,46559814,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Negaprion,acutidens,Negaprion acutidens,sicklefin lemon shark,dataset/Animalia-Chordata-Chondrichthyes-Carcharhiniformes-Carcharhinidae-Negaprion-acutidens/29898060_46559814_eol-full-size-copy.jpg,0
